Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,4084.96,наличный,Витебск,БелАгропромбанк-RBZB-858,04-05-2006,01:43:57,успешно,да,304.63
физ. лицо,списание средств,694.64,безналичный,Гродно,БелАгропромбанк-SEWY-773,10-01-2023,17:10:20,успешно,нет,0.0
физ. лицо,получение средств,3746.43,безналичный,Гомель,БелАгропромбанк-EEWX-075,24-08-2014,07:53:31,успешно,нет,0.0
физ. лицо,получение средств,2829.2,наличный,Гомель,БелАгропромбанк-NCND-197,22-05-2006,10:22:44,успешно,нет,0.0
юр. лицо,списание средств,1325.82,наличный,Могилев,БелАгропромбанк-HTLC-711,14-07-2000,21:36:06,успешно,нет,0.0
физ. лицо,списание средств,2985.73,безналичный,Гомель,БелАгропромбанк-BIHX-075,24-04-2011,03:51:59,успешно,да,149.29
юр. лицо,списание средств,4632.14,безналичный,Минск,БелАгропромбанк-CMOS-586,14-09-2003,08:52:53,успешно,да,256.32
юр. лицо,списание средств,615.78,наличный,Гродно,БелАгропромбанк-BPLP-722,17-03-2012,05:07:39,недостаточно средств,да,51.69
юр. лицо,списание средств,595.77,наличный,Гомель,БелАгропромбанк-MVHB-499,01-07-2000,09:02:19,недостаточно средств,нет,0.0
юр. лицо,списание средств,2524.8,безналичный,Могилев,БелАгропромбанк-PXGY-908,22-03-2013,02:52:28,успешно,нет,0.0
физ. лицо,списание средств,594.31,безналичный,Брест,БелАгропромбанк-DPTL-708,14-04-2003,12:02:59,успешно,да,46.42
юр. лицо,списание средств,3268.33,наличный,Гомель,БелАгропромбанк-CVVV-097,07-10-2009,16:06:11,неправильный ввод пин-кода,да,244.8
физ. лицо,списание средств,90.49,безналичный,Минск,БелАгропромбанк-NKZV-736,29-05-2015,02:45:20,недостаточно средств,да,4.39
физ. лицо,получение средств,466.35,безналичный,Минск,БелАгропромбанк-ELCM-129,18-12-2008,16:44:52,успешно,нет,0.0
физ. лицо,получение средств,4447.35,безналичный,Могилев,БелАгропромбанк-DDWZ-277,13-04-2000,22:46:35,успешно,нет,0.0
физ. лицо,получение средств,2009.57,наличный,Витебск,БелАгропромбанк-QVDI-323,22-02-2015,14:13:33,успешно,нет,0.0
юр. лицо,списание средств,2397.03,безналичный,Брест,БелАгропромбанк-YDWJ-977,15-10-2003,04:59:14,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,98.8,наличный,Витебск,БелАгропромбанк-UTIM-453,15-02-2017,15:02:08,успешно,нет,0.0
физ. лицо,списание средств,999.66,безналичный,Гродно,БелАгропромбанк-XHVZ-647,29-10-2000,00:58:49,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4408.38,безналичный,Минск,БелАгропромбанк-DQPH-553,01-07-2016,09:36:00,успешно,нет,0.0
юр. лицо,получение средств,309.57,безналичный,Гродно,БелАгропромбанк-REME-088,17-03-2012,01:42:32,успешно,нет,0.0
физ. лицо,получение средств,4193.08,безналичный,Гомель,БелАгропромбанк-DNIN-375,13-12-2014,20:17:20,успешно,нет,0.0
юр. лицо,получение средств,4643.67,наличный,Гродно,БелАгропромбанк-VCHF-359,04-10-2005,22:02:46,успешно,нет,0.0
физ. лицо,получение средств,1947.31,безналичный,Витебск,БелАгропромбанк-MNNI-104,08-07-2023,00:26:48,успешно,нет,0.0
юр. лицо,списание средств,1907.16,наличный,Гомель,БелАгропромбанк-MJIB-115,17-09-2017,18:59:48,успешно,да,80.38
юр. лицо,получение средств,2575.05,безналичный,Витебск,БелАгропромбанк-LPVI-452,29-11-2019,23:39:10,успешно,нет,0.0
физ. лицо,списание средств,2217.07,наличный,Могилев,БелАгропромбанк-KNNI-250,10-09-2001,10:22:39,успешно,да,24.56
физ. лицо,получение средств,1385.26,безналичный,Могилев,БелАгропромбанк-BUWS-874,18-07-2004,04:16:17,успешно,нет,0.0
физ. лицо,получение средств,2326.48,безналичный,Минск,БелАгропромбанк-NENM-548,18-08-2014,12:32:46,успешно,нет,0.0
физ. лицо,получение средств,4180.57,наличный,Минск,БелАгропромбанк-AHLK-035,03-07-2023,21:39:31,успешно,нет,0.0
юр. лицо,получение средств,4645.25,безналичный,Минск,БелАгропромбанк-FZTX-738,27-06-2010,22:32:30,успешно,нет,0.0
юр. лицо,списание средств,2743.07,наличный,Могилев,БелАгропромбанк-WBHR-111,08-12-2023,21:37:22,успешно,нет,0.0
юр. лицо,списание средств,1516.29,безналичный,Витебск,БелАгропромбанк-UQLI-019,24-07-2016,13:58:39,неправильный ввод пин-кода,да,75.8
физ. лицо,получение средств,219.6,наличный,Витебск,БелАгропромбанк-LROR-739,02-07-2002,17:46:04,успешно,нет,0.0
физ. лицо,списание средств,3342.85,наличный,Витебск,БелАгропромбанк-GMIX-719,29-08-2011,23:00:55,успешно,нет,0.0
физ. лицо,получение средств,1412.6,наличный,Могилев,БелАгропромбанк-AXED-242,12-11-2024,13:43:50,успешно,нет,0.0
физ. лицо,получение средств,286.26,безналичный,Витебск,БелАгропромбанк-ZVZG-084,21-10-2019,22:31:46,успешно,нет,0.0
юр. лицо,списание средств,2513.02,наличный,Минск,БелАгропромбанк-KHQI-571,01-11-2000,19:32:06,недостаточно средств,да,244.5
юр. лицо,списание средств,2652.31,безналичный,Минск,БелАгропромбанк-ZNJK-616,18-07-2021,20:27:43,неправильный ввод пин-кода,да,138.36
физ. лицо,получение средств,4898.73,наличный,Минск,БелАгропромбанк-FGXE-049,30-10-2004,09:03:28,успешно,нет,0.0
физ. лицо,получение средств,1605.55,безналичный,Могилев,БелАгропромбанк-OCRS-214,24-07-2007,00:36:07,успешно,нет,0.0
физ. лицо,списание средств,2095.89,безналичный,Могилев,БелАгропромбанк-DTMH-758,02-05-2023,22:29:11,успешно,нет,0.0
физ. лицо,получение средств,1704.41,наличный,Витебск,БелАгропромбанк-AYTE-758,18-02-2002,15:40:24,успешно,нет,0.0
юр. лицо,списание средств,3558.67,наличный,Минск,БелАгропромбанк-NSDM-230,03-01-2010,07:01:46,успешно,нет,0.0
юр. лицо,получение средств,3427.33,безналичный,Гродно,БелАгропромбанк-WPUM-658,19-11-2024,15:33:16,успешно,нет,0.0
юр. лицо,списание средств,1845.87,наличный,Витебск,БелАгропромбанк-TJXZ-047,07-05-2006,02:35:10,успешно,да,24.48
юр. лицо,получение средств,2657.04,наличный,Гродно,БелАгропромбанк-TPUT-879,17-06-2009,11:28:10,успешно,нет,0.0
физ. лицо,списание средств,3173.76,наличный,Витебск,БелАгропромбанк-ZTML-437,29-09-2015,14:17:04,недостаточно средств,да,280.66
физ. лицо,получение средств,4649.76,безналичный,Витебск,БелАгропромбанк-YPRK-325,30-06-2017,23:39:38,успешно,нет,0.0
юр. лицо,списание средств,2551.52,наличный,Витебск,БелАгропромбанк-WUEW-962,23-05-2011,09:57:59,недостаточно средств,да,37.31
юр. лицо,списание средств,127.48,наличный,Брест,БелАгропромбанк-IWVR-358,18-06-2015,02:12:26,неправильный ввод пин-кода,да,3.02
физ. лицо,получение средств,3945.03,наличный,Могилев,БелАгропромбанк-ICOP-101,10-05-2007,08:02:26,успешно,нет,0.0
юр. лицо,получение средств,3265.57,безналичный,Гродно,БелАгропромбанк-CLDK-332,26-09-2006,01:54:38,успешно,нет,0.0
юр. лицо,списание средств,565.06,наличный,Гомель,БелАгропромбанк-IMAE-271,04-02-2023,06:37:43,успешно,нет,0.0
физ. лицо,получение средств,651.46,безналичный,Могилев,БелАгропромбанк-DBOT-484,07-02-2011,08:07:20,успешно,нет,0.0
физ. лицо,списание средств,2358.0,наличный,Могилев,БелАгропромбанк-ERTK-831,13-10-2011,00:17:14,успешно,нет,0.0
юр. лицо,получение средств,236.58,наличный,Гомель,БелАгропромбанк-OZWV-134,14-04-2015,21:02:07,успешно,нет,0.0
юр. лицо,получение средств,1931.79,безналичный,Гомель,БелАгропромбанк-WAUU-684,02-08-2019,07:21:57,успешно,нет,0.0
физ. лицо,получение средств,647.5,безналичный,Гомель,БелАгропромбанк-SZKT-050,14-05-2022,22:50:11,успешно,нет,0.0
физ. лицо,списание средств,2463.31,наличный,Могилев,БелАгропромбанк-BESL-867,17-05-2015,14:01:04,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4366.45,безналичный,Могилев,БелАгропромбанк-UHGW-315,04-01-2006,09:18:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3669.85,наличный,Могилев,БелАгропромбанк-RZPV-933,12-04-2020,22:30:02,успешно,нет,0.0
юр. лицо,списание средств,3725.05,наличный,Брест,БелАгропромбанк-RUWP-286,22-01-2023,11:28:51,недостаточно средств,нет,0.0
юр. лицо,получение средств,3647.45,наличный,Брест,БелАгропромбанк-WKCO-872,17-05-2017,20:26:08,успешно,нет,0.0
юр. лицо,списание средств,3580.02,наличный,Могилев,БелАгропромбанк-WNQC-856,23-08-2014,08:44:34,недостаточно средств,нет,0.0
физ. лицо,списание средств,4307.45,наличный,Брест,БелАгропромбанк-TJXG-793,14-05-2024,14:26:54,недостаточно средств,нет,0.0
физ. лицо,получение средств,2284.23,безналичный,Минск,БелАгропромбанк-NZJT-959,27-06-2010,18:32:57,успешно,нет,0.0
юр. лицо,получение средств,4675.81,наличный,Брест,БелАгропромбанк-YLPE-826,02-06-2011,04:04:13,успешно,нет,0.0
физ. лицо,списание средств,1985.87,безналичный,Брест,БелАгропромбанк-SSCO-555,27-06-2010,14:11:42,недостаточно средств,нет,0.0
физ. лицо,списание средств,4589.78,безналичный,Витебск,БелАгропромбанк-GCSK-661,06-06-2016,07:44:41,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3376.33,наличный,Брест,БелАгропромбанк-EMZB-923,04-11-2004,09:06:40,успешно,да,242.88
юр. лицо,списание средств,4884.61,безналичный,Брест,БелАгропромбанк-BEZT-336,29-01-2007,17:55:43,неправильный ввод пин-кода,да,148.35
юр. лицо,списание средств,1979.55,наличный,Гомель,БелАгропромбанк-XNNT-251,02-04-2004,00:25:53,недостаточно средств,да,22.55
физ. лицо,списание средств,4080.01,наличный,Гомель,БелАгропромбанк-WDHP-678,10-01-2011,02:26:16,успешно,да,102.68
юр. лицо,получение средств,1610.2,безналичный,Могилев,БелАгропромбанк-VNOP-258,28-03-2010,16:22:09,успешно,нет,0.0
юр. лицо,списание средств,2687.22,наличный,Брест,БелАгропромбанк-FPYA-637,08-07-2002,10:59:09,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1788.17,наличный,Витебск,БелАгропромбанк-NDJJ-392,29-09-2002,21:40:24,успешно,нет,0.0
физ. лицо,списание средств,2787.12,безналичный,Минск,БелАгропромбанк-UIVG-226,19-03-2011,22:54:28,успешно,да,118.34
физ. лицо,списание средств,2221.62,безналичный,Гродно,БелАгропромбанк-TEJM-535,29-08-2015,00:23:19,недостаточно средств,да,105.36
юр. лицо,списание средств,2724.34,безналичный,Могилев,БелАгропромбанк-LZND-660,07-05-2022,10:59:58,недостаточно средств,да,232.26
юр. лицо,списание средств,2713.7,безналичный,Брест,БелАгропромбанк-OXHB-786,04-09-2012,17:00:18,недостаточно средств,нет,0.0
физ. лицо,списание средств,708.41,наличный,Могилев,БелАгропромбанк-JNXS-546,15-02-2018,17:56:07,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,200.08,наличный,Гомель,БелАгропромбанк-SUBN-163,01-02-2009,18:54:25,успешно,нет,0.0
физ. лицо,списание средств,2050.33,безналичный,Гродно,БелАгропромбанк-JPRR-926,12-08-2012,13:24:12,неправильный ввод пин-кода,да,42.1
физ. лицо,списание средств,2433.77,безналичный,Гомель,БелАгропромбанк-NURH-135,25-04-2010,06:04:12,успешно,да,155.65
юр. лицо,получение средств,1984.13,наличный,Гродно,БелАгропромбанк-PWLD-731,10-07-2022,20:00:04,успешно,нет,0.0
юр. лицо,списание средств,2803.62,безналичный,Гродно,БелАгропромбанк-RUGL-476,03-04-2007,06:54:10,неправильный ввод пин-кода,да,103.86
физ. лицо,списание средств,3353.15,наличный,Брест,БелАгропромбанк-NRSM-220,27-11-2010,04:17:00,успешно,да,169.74
физ. лицо,списание средств,919.48,наличный,Гомель,БелАгропромбанк-WCLD-046,12-01-2022,15:11:33,успешно,да,26.18
физ. лицо,получение средств,139.76,безналичный,Гродно,БелАгропромбанк-XFYI-997,04-06-2021,23:45:54,успешно,нет,0.0
юр. лицо,списание средств,2333.27,наличный,Витебск,БелАгропромбанк-NPXX-424,22-09-2011,23:45:41,неправильный ввод пин-кода,да,67.75
физ. лицо,получение средств,1813.06,наличный,Гродно,БелАгропромбанк-YWVN-563,21-07-2012,16:17:58,успешно,нет,0.0
физ. лицо,списание средств,1408.48,наличный,Витебск,БелАгропромбанк-KXJS-650,24-04-2016,05:48:16,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3409.71,безналичный,Могилев,БелАгропромбанк-SUSP-954,15-05-2004,05:42:15,успешно,нет,0.0
физ. лицо,списание средств,2608.77,наличный,Гомель,БелАгропромбанк-BSSU-547,15-10-2020,16:09:26,неправильный ввод пин-кода,да,179.4
юр. лицо,получение средств,4256.88,безналичный,Гродно,БелАгропромбанк-PJWX-183,12-01-2017,22:42:20,успешно,нет,0.0
физ. лицо,списание средств,1282.82,безналичный,Брест,БелАгропромбанк-OCGE-138,22-05-2021,10:18:23,успешно,да,13.8
юр. лицо,списание средств,4252.49,безналичный,Брест,БелАгропромбанк-MKBT-594,23-10-2019,17:04:49,успешно,да,417.72
физ. лицо,получение средств,4162.59,безналичный,Витебск,БелАгропромбанк-KPGE-187,09-01-2000,00:56:29,успешно,нет,0.0
юр. лицо,списание средств,4444.77,наличный,Гродно,БелАгропромбанк-LOAB-395,25-08-2018,05:02:06,успешно,да,46.27
физ. лицо,списание средств,2177.9,безналичный,Минск,БелАгропромбанк-POXI-670,19-04-2014,12:41:41,недостаточно средств,да,57.19
юр. лицо,получение средств,2729.03,безналичный,Могилев,БелАгропромбанк-IMHU-110,26-09-2023,10:46:24,успешно,нет,0.0
юр. лицо,списание средств,653.03,безналичный,Гомель,БелАгропромбанк-ZHYG-918,10-04-2018,05:47:51,успешно,нет,0.0
физ. лицо,получение средств,3641.35,безналичный,Брест,БелАгропромбанк-BPQU-414,05-10-2003,15:13:54,успешно,нет,0.0
юр. лицо,получение средств,950.57,безналичный,Гомель,БелАгропромбанк-ESLC-906,16-03-2004,04:48:06,успешно,нет,0.0
физ. лицо,списание средств,2022.42,наличный,Минск,БелАгропромбанк-VZUS-613,25-03-2006,17:05:38,успешно,нет,0.0
юр. лицо,получение средств,2357.61,наличный,Могилев,БелАгропромбанк-QYLA-028,15-02-2017,04:19:15,успешно,нет,0.0
физ. лицо,получение средств,3904.33,безналичный,Брест,БелАгропромбанк-HXVQ-850,09-10-2009,11:21:33,успешно,нет,0.0
физ. лицо,получение средств,2712.3,наличный,Брест,БелАгропромбанк-WQFI-300,29-03-2014,03:33:36,успешно,нет,0.0
юр. лицо,списание средств,1368.26,безналичный,Гомель,БелАгропромбанк-MPHX-314,24-03-2004,02:56:11,недостаточно средств,да,50.74
физ. лицо,списание средств,1323.8,наличный,Гродно,БелАгропромбанк-GXTA-417,25-07-2017,23:07:27,недостаточно средств,да,59.0
юр. лицо,списание средств,2567.0,безналичный,Брест,БелАгропромбанк-KSMY-327,17-02-2016,01:57:40,успешно,нет,0.0
физ. лицо,списание средств,4809.65,наличный,Брест,БелАгропромбанк-SBLO-831,19-04-2000,01:26:45,недостаточно средств,нет,0.0
физ. лицо,получение средств,4613.77,безналичный,Минск,БелАгропромбанк-IATB-922,08-12-2004,09:44:18,успешно,нет,0.0
физ. лицо,получение средств,2858.77,безналичный,Витебск,БелАгропромбанк-LJVE-102,29-08-2011,22:00:19,успешно,нет,0.0
физ. лицо,получение средств,1500.02,наличный,Витебск,БелАгропромбанк-JFCP-560,23-02-2003,08:13:41,успешно,нет,0.0
юр. лицо,получение средств,3035.78,безналичный,Могилев,БелАгропромбанк-CNPO-389,06-03-2002,23:44:13,успешно,нет,0.0
физ. лицо,получение средств,2629.27,наличный,Брест,БелАгропромбанк-MCTD-036,12-12-2016,18:35:06,успешно,нет,0.0
физ. лицо,получение средств,1602.54,безналичный,Могилев,БелАгропромбанк-WNPC-917,05-11-2004,05:45:55,успешно,нет,0.0
юр. лицо,списание средств,4473.22,наличный,Гомель,БелАгропромбанк-LAVL-100,07-12-2000,15:55:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4839.1,безналичный,Гомель,БелАгропромбанк-PTOX-572,30-03-2011,06:41:25,недостаточно средств,да,179.6
физ. лицо,списание средств,755.64,безналичный,Гродно,БелАгропромбанк-HPLO-752,08-07-2000,15:21:08,успешно,нет,0.0
физ. лицо,получение средств,3423.74,безналичный,Брест,БелАгропромбанк-LYBS-252,25-11-2006,14:50:43,успешно,нет,0.0
юр. лицо,списание средств,2413.47,наличный,Витебск,БелАгропромбанк-OWZX-064,26-03-2023,01:04:35,неправильный ввод пин-кода,да,93.41
физ. лицо,списание средств,1408.45,безналичный,Гомель,БелАгропромбанк-ZGGF-560,01-09-2017,13:43:29,успешно,да,38.24
физ. лицо,списание средств,1269.23,наличный,Гродно,БелАгропромбанк-QHIU-961,16-10-2015,19:33:12,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,752.06,наличный,Минск,БелАгропромбанк-XRIR-414,21-04-2018,00:05:07,успешно,нет,0.0
