Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,4105.36,наличный,Гомель,Приорбанк-UEMB-754,17-04-2019,18:46:25,недостаточно средств,да,239.37
юр. лицо,получение средств,1968.38,безналичный,Витебск,Приорбанк-HWJB-737,26-02-2011,03:41:09,успешно,нет,0.0
физ. лицо,получение средств,4748.88,безналичный,Гомель,Приорбанк-AZGJ-370,10-09-2006,07:45:11,успешно,нет,0.0
юр. лицо,списание средств,1125.46,безналичный,Могилев,Приорбанк-CEGX-004,12-02-2012,03:18:24,неправильный ввод пин-кода,да,20.89
физ. лицо,получение средств,1852.26,безналичный,Гродно,Приорбанк-YAPH-725,09-09-2012,19:29:27,успешно,нет,0.0
физ. лицо,получение средств,4306.18,наличный,Брест,Приорбанк-ALKE-603,30-04-2001,05:55:45,успешно,нет,0.0
физ. лицо,получение средств,3522.05,наличный,Витебск,Приорбанк-WCVN-801,16-02-2007,07:48:48,успешно,нет,0.0
физ. лицо,получение средств,4234.65,безналичный,Гродно,Приорбанк-OWBO-767,24-10-2022,09:00:06,успешно,нет,0.0
юр. лицо,получение средств,422.41,безналичный,Минск,Приорбанк-PFSR-624,18-01-2021,21:00:46,успешно,нет,0.0
физ. лицо,списание средств,1623.02,безналичный,Витебск,Приорбанк-NRSF-453,30-06-2016,09:02:32,успешно,нет,0.0
физ. лицо,списание средств,4467.4,наличный,Минск,Приорбанк-UQVF-597,01-05-2007,13:38:41,успешно,да,147.08
юр. лицо,получение средств,4846.21,наличный,Могилев,Приорбанк-VNNU-980,11-02-2001,17:49:42,успешно,нет,0.0
юр. лицо,списание средств,2840.16,безналичный,Брест,Приорбанк-UWME-471,22-02-2007,22:23:40,недостаточно средств,да,280.6
юр. лицо,списание средств,3454.8,наличный,Гродно,Приорбанк-AGLP-112,04-02-2005,11:03:35,успешно,да,38.39
физ. лицо,списание средств,533.98,безналичный,Минск,Приорбанк-QQVI-265,15-08-2007,20:16:08,успешно,да,41.18
юр. лицо,получение средств,1982.42,наличный,Гомель,Приорбанк-PSKW-160,03-11-2013,15:50:45,успешно,нет,0.0
юр. лицо,списание средств,1271.13,наличный,Гродно,Приорбанк-IUTC-611,03-04-2010,02:35:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2582.45,безналичный,Гомель,Приорбанк-IGFC-668,05-04-2011,15:32:42,недостаточно средств,да,85.68
физ. лицо,получение средств,2395.72,безналичный,Гродно,Приорбанк-RJFN-418,07-07-2003,19:16:51,успешно,нет,0.0
физ. лицо,получение средств,1364.78,безналичный,Гродно,Приорбанк-SXVV-007,24-01-2001,22:46:12,успешно,нет,0.0
физ. лицо,получение средств,3304.28,наличный,Витебск,Приорбанк-QXLC-656,25-02-2010,02:03:59,успешно,нет,0.0
физ. лицо,получение средств,202.77,наличный,Витебск,Приорбанк-FNLW-550,19-02-2003,03:43:33,успешно,нет,0.0
физ. лицо,получение средств,1224.1,безналичный,Минск,Приорбанк-RXRS-517,22-04-2018,08:04:51,успешно,нет,0.0
юр. лицо,списание средств,4689.6,безналичный,Брест,Приорбанк-VHFO-654,18-07-2008,22:57:50,недостаточно средств,нет,0.0
физ. лицо,получение средств,3939.08,наличный,Минск,Приорбанк-ZDAU-982,29-03-2011,15:28:23,успешно,нет,0.0
физ. лицо,списание средств,3108.97,наличный,Могилев,Приорбанк-DWJP-656,17-12-2014,15:55:19,неправильный ввод пин-кода,да,153.22
юр. лицо,получение средств,3923.54,безналичный,Могилев,Приорбанк-FILG-423,16-06-2002,18:56:16,успешно,нет,0.0
юр. лицо,получение средств,1738.07,безналичный,Витебск,Приорбанк-WURZ-420,21-04-2007,06:33:54,успешно,нет,0.0
юр. лицо,списание средств,3698.72,наличный,Могилев,Приорбанк-WDLL-490,08-12-2011,00:28:50,успешно,нет,0.0
юр. лицо,списание средств,1539.91,наличный,Гомель,Приорбанк-STBP-232,02-05-2020,19:00:45,неправильный ввод пин-кода,да,20.65
юр. лицо,списание средств,2690.24,наличный,Гомель,Приорбанк-BVHX-935,28-02-2007,22:47:43,недостаточно средств,нет,0.0
физ. лицо,получение средств,3210.17,наличный,Могилев,Приорбанк-PYFD-903,19-02-2018,10:50:22,успешно,нет,0.0
юр. лицо,списание средств,2228.15,наличный,Гомель,Приорбанк-JFQO-911,27-03-2024,00:29:30,недостаточно средств,да,46.2
физ. лицо,списание средств,507.43,безналичный,Гродно,Приорбанк-TWGX-095,17-04-2023,01:34:41,успешно,нет,0.0
физ. лицо,получение средств,4485.46,безналичный,Минск,Приорбанк-UVNN-158,05-09-2023,13:47:11,успешно,нет,0.0
юр. лицо,получение средств,4097.36,безналичный,Гомель,Приорбанк-VZFA-230,11-10-2017,22:01:22,успешно,нет,0.0
физ. лицо,списание средств,4775.97,безналичный,Гродно,Приорбанк-RWSS-825,15-11-2013,23:25:55,успешно,нет,0.0
юр. лицо,списание средств,3532.9,безналичный,Могилев,Приорбанк-IRSC-004,20-03-2014,14:05:00,недостаточно средств,нет,0.0
юр. лицо,списание средств,352.57,безналичный,Витебск,Приорбанк-BWFQ-136,29-09-2021,05:03:49,успешно,нет,0.0
физ. лицо,списание средств,924.39,безналичный,Минск,Приорбанк-OEIE-263,18-12-2010,20:07:28,успешно,да,36.84
юр. лицо,списание средств,634.48,наличный,Брест,Приорбанк-ZWIT-884,29-07-2019,11:14:25,успешно,да,45.31
физ. лицо,списание средств,4386.99,безналичный,Витебск,Приорбанк-JIKQ-940,09-07-2023,11:00:20,недостаточно средств,да,241.42
физ. лицо,получение средств,2630.97,безналичный,Брест,Приорбанк-LKNE-486,06-07-2001,16:18:37,успешно,нет,0.0
физ. лицо,списание средств,2287.26,наличный,Гомель,Приорбанк-FFIB-248,12-03-2011,04:33:40,успешно,да,190.73
физ. лицо,получение средств,1909.79,безналичный,Могилев,Приорбанк-XTDR-750,08-04-2003,05:24:58,успешно,нет,0.0
физ. лицо,получение средств,3746.32,безналичный,Минск,Приорбанк-GIAW-845,31-03-2013,04:41:56,успешно,нет,0.0
физ. лицо,получение средств,3033.83,наличный,Брест,Приорбанк-ARZK-105,14-04-2013,23:17:11,успешно,нет,0.0
юр. лицо,списание средств,2883.58,наличный,Витебск,Приорбанк-SDBP-534,01-11-2018,23:50:11,недостаточно средств,да,90.95
физ. лицо,списание средств,3755.39,безналичный,Брест,Приорбанк-CYVB-467,14-08-2011,18:08:43,успешно,нет,0.0
физ. лицо,получение средств,1080.73,наличный,Гродно,Приорбанк-WCII-107,01-07-2010,12:02:03,успешно,нет,0.0
юр. лицо,списание средств,4928.03,безналичный,Витебск,Приорбанк-AUGC-435,08-02-2014,17:12:27,успешно,нет,0.0
физ. лицо,получение средств,3643.95,наличный,Минск,Приорбанк-SDWB-182,24-10-2003,10:32:39,успешно,нет,0.0
физ. лицо,получение средств,1841.95,безналичный,Минск,Приорбанк-VKVT-324,17-05-2007,05:52:00,успешно,нет,0.0
физ. лицо,получение средств,3302.82,наличный,Брест,Приорбанк-XLEU-240,10-11-2011,22:58:43,успешно,нет,0.0
физ. лицо,списание средств,1231.94,безналичный,Брест,Приорбанк-HKJL-777,13-12-2008,23:36:53,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1729.88,наличный,Витебск,Приорбанк-BTFO-065,07-02-2010,19:28:03,успешно,нет,0.0
физ. лицо,списание средств,99.2,безналичный,Витебск,Приорбанк-WUTW-491,27-08-2023,18:29:47,недостаточно средств,нет,0.0
физ. лицо,списание средств,4480.65,наличный,Гомель,Приорбанк-LWQI-057,03-01-2021,10:40:10,недостаточно средств,да,294.39
физ. лицо,списание средств,2791.48,безналичный,Минск,Приорбанк-HDEV-651,22-03-2005,06:33:30,неправильный ввод пин-кода,да,198.26
юр. лицо,получение средств,2678.13,безналичный,Минск,Приорбанк-IZHZ-932,17-09-2015,21:42:24,успешно,нет,0.0
физ. лицо,списание средств,3766.45,безналичный,Брест,Приорбанк-TWXA-556,10-11-2021,18:11:11,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3902.07,наличный,Гродно,Приорбанк-ISXY-156,19-06-2004,16:52:10,успешно,нет,0.0
физ. лицо,списание средств,2845.92,наличный,Минск,Приорбанк-GQNK-908,08-06-2024,06:03:52,неправильный ввод пин-кода,да,80.37
физ. лицо,списание средств,3929.67,безналичный,Могилев,Приорбанк-CTFY-951,07-01-2008,05:15:31,успешно,да,217.49
физ. лицо,получение средств,4016.55,наличный,Брест,Приорбанк-QQXG-617,30-05-2015,09:28:27,успешно,нет,0.0
юр. лицо,списание средств,3361.24,безналичный,Могилев,Приорбанк-CLZH-579,17-03-2016,06:38:30,недостаточно средств,нет,0.0
физ. лицо,списание средств,4036.87,безналичный,Могилев,Приорбанк-PJNX-226,10-01-2002,06:26:56,недостаточно средств,нет,0.0
юр. лицо,получение средств,1572.04,наличный,Минск,Приорбанк-RKUY-236,07-12-2021,11:46:42,успешно,нет,0.0
физ. лицо,получение средств,3600.79,наличный,Витебск,Приорбанк-UJUJ-720,31-12-2023,18:16:43,успешно,нет,0.0
юр. лицо,списание средств,3746.1,наличный,Брест,Приорбанк-FCQT-582,14-01-2014,08:50:51,недостаточно средств,нет,0.0
физ. лицо,списание средств,3759.19,безналичный,Гродно,Приорбанк-JODN-756,04-04-2022,09:55:35,успешно,нет,0.0
физ. лицо,списание средств,74.42,безналичный,Гомель,Приорбанк-AELD-032,12-06-2020,15:33:00,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1102.16,наличный,Гомель,Приорбанк-MDZJ-951,29-06-2019,07:28:44,успешно,нет,0.0
юр. лицо,получение средств,2819.59,безналичный,Гомель,Приорбанк-OPMF-522,15-09-2008,12:31:59,успешно,нет,0.0
юр. лицо,списание средств,3306.76,безналичный,Брест,Приорбанк-NJZN-811,21-06-2020,04:47:43,неправильный ввод пин-кода,да,57.82
юр. лицо,получение средств,2024.8,наличный,Минск,Приорбанк-PHLC-716,30-01-2018,04:39:20,успешно,нет,0.0
физ. лицо,получение средств,1397.85,безналичный,Минск,Приорбанк-ZZRH-271,22-03-2008,02:05:31,успешно,нет,0.0
физ. лицо,получение средств,2813.32,наличный,Гомель,Приорбанк-UWNN-563,17-08-2006,16:04:46,успешно,нет,0.0
физ. лицо,получение средств,979.79,наличный,Гомель,Приорбанк-JOSH-979,07-11-2013,23:44:36,успешно,нет,0.0
физ. лицо,списание средств,1678.6,безналичный,Витебск,Приорбанк-FUKO-317,12-09-2000,04:23:45,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,514.6,безналичный,Гродно,Приорбанк-VDYB-308,28-12-2013,13:40:40,успешно,нет,0.0
юр. лицо,получение средств,3587.23,безналичный,Минск,Приорбанк-EGWD-136,12-04-2024,23:07:46,успешно,нет,0.0
физ. лицо,получение средств,2752.55,наличный,Могилев,Приорбанк-PLQB-279,07-12-2003,14:03:26,успешно,нет,0.0
физ. лицо,списание средств,4812.63,безналичный,Могилев,Приорбанк-ZNLT-383,04-07-2019,17:48:25,неправильный ввод пин-кода,да,275.71
юр. лицо,получение средств,2551.41,безналичный,Гомель,Приорбанк-ELPF-466,17-12-2007,22:22:34,успешно,нет,0.0
физ. лицо,списание средств,4746.1,безналичный,Витебск,Приорбанк-UTZT-656,23-05-2000,03:17:19,недостаточно средств,да,178.91
физ. лицо,получение средств,292.19,наличный,Минск,Приорбанк-QPST-579,29-06-2018,06:51:38,успешно,нет,0.0
юр. лицо,получение средств,912.15,безналичный,Брест,Приорбанк-OHXB-127,06-01-2020,03:39:16,успешно,нет,0.0
юр. лицо,получение средств,1233.12,наличный,Гомель,Приорбанк-JCIL-656,04-11-2012,02:47:27,успешно,нет,0.0
юр. лицо,получение средств,2873.25,наличный,Брест,Приорбанк-ZSXS-582,15-09-2020,15:19:36,успешно,нет,0.0
физ. лицо,списание средств,2632.41,наличный,Минск,Приорбанк-XYHJ-137,29-05-2019,17:24:12,недостаточно средств,нет,0.0
юр. лицо,получение средств,2607.66,наличный,Брест,Приорбанк-IZGB-573,04-12-2015,07:48:49,успешно,нет,0.0
юр. лицо,получение средств,1829.99,наличный,Могилев,Приорбанк-MCLI-703,10-06-2024,03:08:07,успешно,нет,0.0
физ. лицо,списание средств,926.66,наличный,Брест,Приорбанк-OWLY-165,19-10-2020,01:22:02,недостаточно средств,нет,0.0
физ. лицо,получение средств,2824.65,безналичный,Гродно,Приорбанк-NUYM-287,22-03-2004,03:39:32,успешно,нет,0.0
физ. лицо,списание средств,4754.66,наличный,Гродно,Приорбанк-XPNE-860,22-02-2016,12:31:52,успешно,да,57.03
физ. лицо,списание средств,2622.28,безналичный,Минск,Приорбанк-JCDT-911,20-09-2004,06:09:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,44.19,наличный,Витебск,Приорбанк-MNKL-255,14-02-2006,11:37:27,успешно,нет,0.0
физ. лицо,списание средств,3784.17,наличный,Гомель,Приорбанк-CDVG-370,17-01-2001,01:26:43,успешно,нет,0.0
юр. лицо,списание средств,4826.79,наличный,Минск,Приорбанк-ZMPJ-428,14-09-2015,11:44:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4210.91,безналичный,Витебск,Приорбанк-SBFQ-323,23-02-2013,02:14:18,успешно,нет,0.0
юр. лицо,получение средств,675.55,безналичный,Минск,Приорбанк-JNHL-107,13-12-2009,23:34:57,успешно,нет,0.0
юр. лицо,получение средств,2608.33,наличный,Гродно,Приорбанк-WOFX-422,12-12-2019,20:41:39,успешно,нет,0.0
юр. лицо,получение средств,794.06,безналичный,Минск,Приорбанк-XCUN-373,25-01-2014,17:18:50,успешно,нет,0.0
физ. лицо,списание средств,4297.53,наличный,Могилев,Приорбанк-EIXU-340,10-02-2006,12:30:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2716.45,наличный,Минск,Приорбанк-XKLC-343,08-07-2008,21:28:27,неправильный ввод пин-кода,да,140.9
физ. лицо,списание средств,428.13,безналичный,Витебск,Приорбанк-DAXS-538,26-08-2011,23:35:23,успешно,нет,0.0
физ. лицо,получение средств,4492.7,безналичный,Витебск,Приорбанк-NBGW-913,03-08-2023,17:32:12,успешно,нет,0.0
юр. лицо,списание средств,1585.41,наличный,Гомель,Приорбанк-HXEP-082,25-05-2021,17:32:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3460.54,безналичный,Гродно,Приорбанк-XUPR-347,26-08-2022,22:49:39,успешно,нет,0.0
юр. лицо,списание средств,2739.29,наличный,Могилев,Приорбанк-ICNB-753,06-08-2015,21:09:06,недостаточно средств,нет,0.0
физ. лицо,получение средств,1115.42,безналичный,Гомель,Приорбанк-BMQN-701,16-04-2003,04:14:52,успешно,нет,0.0
физ. лицо,списание средств,155.49,безналичный,Гродно,Приорбанк-EJIO-238,05-10-2021,14:57:27,неправильный ввод пин-кода,да,11.34
юр. лицо,списание средств,4590.35,наличный,Витебск,Приорбанк-MCSG-977,13-12-2004,07:34:37,успешно,да,444.39
физ. лицо,получение средств,3804.46,наличный,Витебск,Приорбанк-RKSE-862,07-03-2021,03:38:29,успешно,нет,0.0
физ. лицо,списание средств,781.59,безналичный,Минск,Приорбанк-DTWO-714,25-08-2023,11:16:41,недостаточно средств,нет,0.0
физ. лицо,получение средств,1246.11,наличный,Гомель,Приорбанк-NAFW-430,06-07-2013,19:34:35,успешно,нет,0.0
юр. лицо,списание средств,2540.87,безналичный,Минск,Приорбанк-UOHZ-998,20-05-2009,01:31:02,успешно,нет,0.0
юр. лицо,получение средств,2060.4,безналичный,Могилев,Приорбанк-MHGQ-592,21-01-2004,08:29:05,успешно,нет,0.0
юр. лицо,списание средств,1403.28,наличный,Могилев,Приорбанк-QNYZ-370,12-06-2006,05:56:30,неправильный ввод пин-кода,да,99.51
юр. лицо,списание средств,1793.74,наличный,Могилев,Приорбанк-HVQW-381,21-09-2018,05:23:37,недостаточно средств,да,126.02
физ. лицо,получение средств,3267.59,безналичный,Минск,Приорбанк-HEDZ-146,23-10-2021,00:55:09,успешно,нет,0.0
физ. лицо,списание средств,497.06,безналичный,Гомель,Приорбанк-CRBH-731,29-09-2002,10:28:10,неправильный ввод пин-кода,да,17.36
юр. лицо,получение средств,316.89,наличный,Могилев,Приорбанк-CPLQ-487,12-09-2005,08:03:29,успешно,нет,0.0
физ. лицо,получение средств,3682.83,наличный,Брест,Приорбанк-FPNR-489,02-01-2018,20:15:44,успешно,нет,0.0
физ. лицо,списание средств,657.48,безналичный,Витебск,Приорбанк-GCNY-388,30-06-2023,12:34:07,неправильный ввод пин-кода,да,19.39
юр. лицо,списание средств,2699.32,наличный,Брест,Приорбанк-FFSP-556,11-06-2005,17:42:16,неправильный ввод пин-кода,да,137.3
юр. лицо,списание средств,1554.36,безналичный,Витебск,Приорбанк-CKYQ-415,04-04-2021,13:17:30,недостаточно средств,нет,0.0
юр. лицо,списание средств,994.96,наличный,Гомель,Приорбанк-CVCE-879,24-01-2013,12:08:43,недостаточно средств,да,33.11
физ. лицо,получение средств,542.2,безналичный,Могилев,Приорбанк-IOUL-300,24-08-2004,05:16:52,успешно,нет,0.0
юр. лицо,получение средств,1122.45,безналичный,Минск,Приорбанк-VZGS-583,26-10-2002,08:28:41,успешно,нет,0.0
физ. лицо,списание средств,4088.22,безналичный,Гродно,Приорбанк-WDGN-813,21-09-2012,06:10:21,успешно,да,244.34
физ. лицо,списание средств,418.93,безналичный,Минск,Приорбанк-FAIN-255,12-03-2006,18:32:46,недостаточно средств,нет,0.0
юр. лицо,получение средств,2480.67,наличный,Витебск,Приорбанк-BPYI-332,01-10-2018,04:44:30,успешно,нет,0.0
физ. лицо,получение средств,3231.78,наличный,Гродно,Приорбанк-GCVG-593,18-12-2009,12:03:35,успешно,нет,0.0
физ. лицо,получение средств,614.0,наличный,Могилев,Приорбанк-EGLZ-079,23-07-2006,13:06:35,успешно,нет,0.0
юр. лицо,получение средств,3740.85,наличный,Витебск,Приорбанк-FTTT-577,17-06-2014,06:36:25,успешно,нет,0.0
юр. лицо,списание средств,334.87,наличный,Брест,Приорбанк-JSJB-202,28-01-2022,02:44:18,успешно,да,14.29
физ. лицо,списание средств,2444.42,наличный,Минск,Приорбанк-FBVS-192,10-09-2001,15:18:16,недостаточно средств,да,147.06
юр. лицо,списание средств,4115.64,наличный,Гомель,Приорбанк-LGCP-068,26-06-2023,09:11:48,недостаточно средств,нет,0.0
юр. лицо,получение средств,4316.5,наличный,Гродно,Приорбанк-CVNN-261,25-04-2009,12:44:09,успешно,нет,0.0
физ. лицо,получение средств,184.66,наличный,Брест,Приорбанк-XMBG-550,03-02-2013,06:04:29,успешно,нет,0.0
юр. лицо,получение средств,3867.33,безналичный,Минск,Приорбанк-AQWC-516,06-06-2007,01:09:28,успешно,нет,0.0
юр. лицо,получение средств,841.8,безналичный,Минск,Приорбанк-UCVP-920,06-11-2011,02:44:27,успешно,нет,0.0
физ. лицо,получение средств,3911.55,безналичный,Гродно,Приорбанк-FTGE-802,12-06-2005,03:33:17,успешно,нет,0.0
юр. лицо,списание средств,1207.57,безналичный,Могилев,Приорбанк-XKAS-703,08-05-2009,05:19:30,успешно,нет,0.0
физ. лицо,получение средств,2807.6,наличный,Гродно,Приорбанк-OZJL-394,20-09-2009,19:17:35,успешно,нет,0.0
физ. лицо,получение средств,4648.43,наличный,Витебск,Приорбанк-BWIP-684,24-07-2008,06:35:30,успешно,нет,0.0
физ. лицо,списание средств,470.02,безналичный,Могилев,Приорбанк-WKUY-115,29-10-2019,04:17:50,недостаточно средств,да,5.03
физ. лицо,получение средств,1298.43,наличный,Гомель,Приорбанк-MPJH-216,26-07-2004,21:54:04,успешно,нет,0.0
юр. лицо,списание средств,2322.83,наличный,Брест,Приорбанк-GIKE-069,05-12-2003,02:52:48,недостаточно средств,да,66.25
физ. лицо,списание средств,3726.97,безналичный,Брест,Приорбанк-ZWED-084,14-08-2014,04:38:20,недостаточно средств,нет,0.0
юр. лицо,списание средств,2530.54,наличный,Могилев,Приорбанк-KIZF-270,25-02-2005,12:28:21,недостаточно средств,нет,0.0
физ. лицо,списание средств,2630.66,безналичный,Могилев,Приорбанк-PWYZ-016,02-12-2018,20:08:49,успешно,нет,0.0
физ. лицо,получение средств,4554.44,безналичный,Витебск,Приорбанк-VTEC-832,29-07-2024,13:40:51,успешно,нет,0.0
юр. лицо,получение средств,1370.35,наличный,Гомель,Приорбанк-LHHS-908,17-01-2010,11:10:18,успешно,нет,0.0
юр. лицо,списание средств,4506.82,безналичный,Могилев,Приорбанк-MMGC-399,27-02-2016,13:51:27,неправильный ввод пин-кода,да,449.3
физ. лицо,получение средств,2073.37,безналичный,Гомель,Приорбанк-ISSU-570,13-07-2003,03:42:04,успешно,нет,0.0
юр. лицо,получение средств,2528.92,наличный,Минск,Приорбанк-TFUU-094,17-03-2023,05:34:47,успешно,нет,0.0
физ. лицо,получение средств,1555.15,безналичный,Гомель,Приорбанк-GBVS-035,15-01-2021,03:02:47,успешно,нет,0.0
физ. лицо,получение средств,2481.63,наличный,Могилев,Приорбанк-HSHL-242,26-02-2018,08:38:10,успешно,нет,0.0
юр. лицо,списание средств,552.36,наличный,Гродно,Приорбанк-ITAD-160,24-03-2024,15:03:25,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1706.59,наличный,Могилев,Приорбанк-CIVD-053,11-08-2001,23:06:30,успешно,нет,0.0
физ. лицо,получение средств,4070.98,безналичный,Могилев,Приорбанк-ATTG-966,30-12-2010,07:07:36,успешно,нет,0.0
юр. лицо,списание средств,1192.9,наличный,Могилев,Приорбанк-XBNC-094,12-05-2014,17:23:19,недостаточно средств,нет,0.0
юр. лицо,списание средств,1514.57,наличный,Гомель,Приорбанк-XOVN-583,08-07-2024,06:42:33,недостаточно средств,нет,0.0
юр. лицо,списание средств,2056.33,безналичный,Гродно,Приорбанк-RNUB-736,19-10-2009,19:02:42,неправильный ввод пин-кода,да,42.81
юр. лицо,списание средств,65.4,наличный,Минск,Приорбанк-DWVW-688,08-11-2012,16:10:13,успешно,нет,0.0
физ. лицо,списание средств,2775.4,безналичный,Брест,Приорбанк-WIQG-833,12-04-2001,00:00:50,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,788.45,безналичный,Витебск,Приорбанк-SQYE-776,20-03-2022,23:44:52,успешно,да,22.41
физ. лицо,списание средств,3699.01,безналичный,Брест,Приорбанк-UENT-606,25-03-2022,18:22:04,недостаточно средств,нет,0.0
юр. лицо,получение средств,1229.94,безналичный,Витебск,Приорбанк-HMOX-400,17-01-2019,20:19:53,успешно,нет,0.0
физ. лицо,списание средств,703.13,безналичный,Гомель,Приорбанк-UKTD-613,03-05-2001,09:40:53,недостаточно средств,да,17.05
физ. лицо,списание средств,3183.03,наличный,Брест,Приорбанк-BOIU-854,08-09-2014,15:13:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2609.75,безналичный,Гродно,Приорбанк-SQSN-732,30-04-2022,05:42:34,недостаточно средств,нет,0.0
юр. лицо,списание средств,913.12,наличный,Гомель,Приорбанк-XLTC-760,03-04-2017,00:30:17,недостаточно средств,нет,0.0
физ. лицо,списание средств,4966.56,безналичный,Витебск,Приорбанк-IODC-334,10-03-2012,21:20:06,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2278.31,наличный,Гродно,Приорбанк-AQZF-337,03-03-2007,08:43:01,успешно,нет,0.0
юр. лицо,получение средств,2202.91,безналичный,Гомель,Приорбанк-EDSQ-160,26-11-2007,13:50:11,успешно,нет,0.0
юр. лицо,получение средств,2848.47,безналичный,Могилев,Приорбанк-NNCM-614,20-11-2023,07:19:30,успешно,нет,0.0
юр. лицо,списание средств,368.88,безналичный,Минск,Приорбанк-NUPZ-973,29-04-2004,12:16:43,неправильный ввод пин-кода,да,6.46
юр. лицо,списание средств,471.04,безналичный,Могилев,Приорбанк-PLBT-520,24-12-2011,18:22:33,успешно,да,7.01
